# CodeVisualization 分析结果导出
# 导出时间: 2025-07-31 15:52:24
# 项目分析结果 - C:/Users/admin/Desktop/code/PHMWidgetManager

# 概览信息
项目,值
项目路径,C:/Users/admin/Desktop/code/PHMWidgetManager
分析时间,2025-07-31 15:52:15
总文件数,224
总行数,73,877
代码行数,60,480
注释行数,5,388
空行数,8,009
总文件大小,2.47 MB
代码行占比,81.87%
注释行占比,7.29%
空行占比,10.84%
编程语言数量,2

# 详细统计表格
语言,文件数,总行数,代码行数,注释行数,空行数,文件大小,平均行数,代码密度
C++,107,60,230,51,272,4,220,4,738,2.11 MB,562.9,85.13%
C/C++ Header,117,13,647,9,208,1,168,3,271,369.81 KB,116.6,67.47%

# 文件列表
文件路径,语言,总行数,代码行数,注释行数,空行数,文件大小,代码密度
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qreportdatawidget.h,C/C++ Header,74,56,4,14,2.10 KB,75.68%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QRoundProgressBar.cpp,C++,394,287,34,73,10.36 KB,72.84%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QRoundProgressBar.h,C/C++ Header,256,70,162,24,9.22 KB,27.34%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qsearchfaultdatadlg.cpp,C++,73,63,1,9,2.06 KB,86.30%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qsearchfaultdatadlg.h,C/C++ Header,31,21,2,8,653.00 B,67.74%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QSensorGraphWidget.cpp,C++,518,436,10,72,14.13 KB,84.17%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QSensorGraphWidget.h,C/C++ Header,52,40,0,12,1.41 KB,76.92%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QShowFaultInfoWidget.cpp,C++,384,285,29,70,13.63 KB,74.22%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QShowFaultInfoWidget.h,C/C++ Header,50,38,5,7,1.52 KB,76.00%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qstatusmainwidget.cpp,C++,1,396,1,153,97,146,52.38 KB,82.59%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qstatusmainwidget.h,C/C++ Header,72,57,2,13,3.58 KB,79.17%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qsysconfigwidget.cpp,C++,750,657,59,34,26.30 KB,87.60%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qsysconfigwidget.h,C/C++ Header,95,66,5,24,3.19 KB,69.47%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qtestdatawidget.cpp,C++,4,760,3,978,328,454,188.10 KB,83.57%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qtestdatawidget.h,C/C++ Header,178,139,14,25,6.39 KB,78.09%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qtypedatawidget.cpp,C++,971,788,61,122,35.73 KB,81.15%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qtypedatawidget.h,C/C++ Header,93,70,5,18,3.09 KB,75.27%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qudpthread.cpp,C++,323,279,37,7,10.26 KB,86.38%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qudpthread.h,C/C++ Header,46,34,0,12,1.18 KB,73.91%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qusermanager.cpp,C++,369,331,22,16,12.68 KB,89.70%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qusermanager.h,C/C++ Header,59,41,1,17,1.35 KB,69.49%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QUserManagerDlg.cpp,C++,378,259,70,49,14.00 KB,68.52%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QUserManagerDlg.h,C/C++ Header,44,35,0,9,1.10 KB,79.55%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qwaveletpacket.cpp,C++,293,237,14,42,7.87 KB,80.89%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qwaveletpacket.h,C/C++ Header,39,36,0,3,1.50 KB,92.31%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/resetlimitvalue.cpp,C++,30,25,0,5,599.00 B,83.33%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/resetlimitvalue.h,C/C++ Header,29,21,0,8,484.00 B,72.41%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/softwareconfiguration.cpp,C++,238,202,21,15,10.21 KB,84.87%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/softwareconfiguration.h,C/C++ Header,62,43,4,15,1.48 KB,69.35%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/sshclient/sshclient.cpp,C++,547,424,101,22,21.12 KB,77.51%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/sshclient/sshclient.h,C/C++ Header,91,57,15,19,2.51 KB,62.64%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/sshclientwidget.cpp,C++,1,199,1,056,113,30,49.26 KB,88.07%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/sshclientwidget.h,C/C++ Header,86,73,4,9,2.21 KB,84.88%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/statusassessment.cpp,C++,951,750,75,126,37.69 KB,78.86%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/statusassessment.h,C/C++ Header,150,113,6,31,4.37 KB,75.33%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/StatusAssessment_4.cpp,C++,1,093,818,126,149,38.14 KB,74.84%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/StatusAssessment_4.h,C/C++ Header,132,97,7,28,4.01 KB,73.48%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/StatusAssessmentHeader.h,C/C++ Header,85,63,9,13,2.92 KB,74.12%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/statusassessmenthistory.cpp,C++,1,098,762,150,186,33.56 KB,69.40%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/statusassessmenthistory.h,C/C++ Header,201,142,22,37,5.93 KB,70.65%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/usermanger.cpp,C++,335,265,19,51,11.07 KB,79.10%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/usermanger.h,C/C++ Header,62,39,6,17,1.43 KB,62.90%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/widget/actiongroup.cpp,C++,251,191,1,59,5.60 KB,76.10%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/widget/actiongroup.h,C/C++ Header,168,54,62,52,4.71 KB,32.14%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/widget/actionlabel.cpp,C++,117,84,0,33,2.44 KB,71.79%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/widget/actionlabel.h,C/C++ Header,87,19,42,26,2.10 KB,21.84%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/widget/actionpanel.cpp,C++,94,64,7,23,1.86 KB,68.09%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/widget/actionpanel.h,C/C++ Header,87,25,34,28,2.53 KB,28.74%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/widget/actionpanelscheme.cpp,C++,114,86,0,28,2.97 KB,75.44%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/widget/actionpanelscheme.h,C/C++ Header,77,33,25,19,2.07 KB,42.86%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/widget/taskgroup_p.cpp,C++,147,105,4,38,2.75 KB,71.43%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/widget/taskgroup_p.h,C/C++ Header,49,30,0,19,897.00 B,61.22%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/widget/taskheader_p.cpp,C++,275,209,6,60,5.46 KB,76.00%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/widget/taskheader_p.h,C/C++ Header,65,41,0,24,1.21 KB,63.08%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/widget/winxppanelscheme.cpp,C++,171,126,2,43,4.60 KB,73.68%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/widget/winxppanelscheme.h,C/C++ Header,52,27,10,15,942.00 B,51.92%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/xxwcustomplot.cpp,C++,153,126,7,20,4.45 KB,82.35%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/xxwcustomplot.h,C/C++ Header,59,50,1,8,1.46 KB,84.75%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/xxwtracer.cpp,C++,268,233,1,34,6.92 KB,86.94%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/xxwtracer.h,C/C++ Header,70,58,0,12,1.69 KB,82.86%
C:/Users/admin/Desktop/code/PHMWidgetManager/test/initwgt.cpp,C++,55,41,5,9,1.57 KB,74.55%
C:/Users/admin/Desktop/code/PHMWidgetManager/test/initwgt.h,C/C++ Header,28,19,0,9,393.00 B,67.86%
C:/Users/admin/Desktop/code/PHMWidgetManager/test/main.cpp,C++,349,298,38,13,11.73 KB,85.39%
C:/Users/admin/Desktop/code/PHMWidgetManager/test/ModuleEngine.cpp,C++,232,217,9,6,8.41 KB,93.53%
C:/Users/admin/Desktop/code/PHMWidgetManager/test/ModuleEngine.h,C/C++ Header,256,202,14,40,5.07 KB,78.91%
C:/Users/admin/Desktop/code/PHMWidgetManager/test/ModuleEngineFactory.cpp,C++,624,580,25,19,26.60 KB,92.95%
C:/Users/admin/Desktop/code/PHMWidgetManager/test/ModuleEngineFactory.h,C/C++ Header,25,17,0,8,604.00 B,68.00%
C:/Users/admin/Desktop/code/PHMWidgetManager/test/qmainthread.cpp,C++,26,21,0,5,460.00 B,80.77%
C:/Users/admin/Desktop/code/PHMWidgetManager/test/qmainthread.h,C/C++ Header,18,16,0,2,278.00 B,88.89%
C:/Users/admin/Desktop/code/PHMWidgetManager/test/QUdpDataInteraction.cpp,C++,476,441,19,16,18.24 KB,92.65%
C:/Users/admin/Desktop/code/PHMWidgetManager/test/QUdpDataInteraction.h,C/C++ Header,81,64,4,13,2.45 KB,79.01%
C:/Users/admin/Desktop/code/PHMWidgetManager/test/start.cpp,C++,12,8,0,4,109.00 B,66.67%
C:/Users/admin/Desktop/code/PHMWidgetManager/test/start.h,C/C++ Header,16,11,0,5,189.00 B,68.75%

# 语言统计
语言,文件数,文件占比,总行数,行数占比,代码行数,注释行数,空行数,文件大小,大小占比
C++,107,47.77%,60,230,81.53%,51,272,4,220,4,738,2.11 MB,85.37%
C/C++ Header,117,52.23%,13,647,18.47%,9,208,1,168,3,271,369.81 KB,14.63%

