# CodeVisualization 分析结果导出
# 导出时间: 2025-07-31 15:52:24
# 项目分析结果 - C:/Users/admin/Desktop/code/PHMWidgetManager

# 概览信息
项目,值
项目路径,C:/Users/admin/Desktop/code/PHMWidgetManager
分析时间,2025-07-31 15:52:15
总文件数,224
总行数,73,877
代码行数,60,480
注释行数,5,388
空行数,8,009
总文件大小,2.47 MB
代码行占比,81.87%
注释行占比,7.29%
空行占比,10.84%
编程语言数量,2

# 详细统计表格
语言,文件数,总行数,代码行数,注释行数,空行数,文件大小,平均行数,代码密度
C++,107,60,230,51,272,4,220,4,738,2.11 MB,562.9,85.13%
C/C++ Header,117,13,647,9,208,1,168,3,271,369.81 KB,116.6,67.47%

# 文件列表
文件路径,语言,总行数,代码行数,注释行数,空行数,文件大小,代码密度
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/emergency.cpp,C++,141,120,3,18,3.21 KB,85.11%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/emergency.h,C/C++ Header,24,10,5,9,706.00 B,41.67%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/emergency_global.h,C/C++ Header,13,9,0,4,264.00 B,69.23%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/Envelope/envelope.cpp,C++,287,252,25,10,11.01 KB,87.80%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/Envelope/envelope.h,C/C++ Header,52,37,5,10,1.50 KB,71.15%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/faultinfowgt.cpp,C++,443,384,40,19,16.92 KB,86.68%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/faultinfowgt.h,C/C++ Header,103,74,8,21,2.69 KB,71.84%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/graphdialog.cpp,C++,115,97,0,18,2.98 KB,84.35%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/graphdialog.h,C/C++ Header,47,35,1,11,1019.00 B,74.47%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/healthunit.cpp,C++,182,149,5,28,4.68 KB,81.87%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/healthunit.h,C/C++ Header,50,39,0,11,1.27 KB,78.00%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/history.cpp,C++,1,482,1,030,285,167,51.66 KB,69.50%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/history.h,C/C++ Header,103,85,7,11,2.90 KB,82.52%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/iconhelper.cpp,C++,234,195,3,36,9.38 KB,83.33%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/iconhelper.h,C/C++ Header,64,48,5,11,2.58 KB,75.00%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/ietmdialog.cpp,C++,19,13,1,5,377.00 B,68.42%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/ietmdialog.h,C/C++ Header,23,16,0,7,305.00 B,69.57%
